frame_index,hotspot_rank,is_top_hotspot,station_name,location_id,latitude,longitude,datetime_to_utc,forecast_for_utc,pm25,predicted_pm25_xgboost,pm25_next_hour,forecast_change_pm25,forecast_change_percent,forecast_direction,predicted_pm25_subindex,aqi_category,risk_level,recommendation,alert_message
66,1,True,"Manali, Chennai - CPCB",2586,13.164544,80.26285,2026-02-27 06:30:00+00:00,2026-02-27 07:30:00+00:00,65.3,62.16,73.2,-3.14,-4.81,Improving,105,Moderately Polluted,Moderate,"Children, older adults and people with respiratory conditions should limit prolonged outdoor activity.","Air-quality caution for Manali, Chennai - CPCB: next-hour PM2.5 is forecast at 62.2 µg/m³. Conditions are improving."
66,2,False,"Arumbakkam, Chennai - TNPCB",11581,13.0664,80.2112,2026-02-27 06:30:00+00:00,2026-02-27 07:30:00+00:00,62.7,61.97,58.0,-0.73,-1.17,Stable,104,Moderately Polluted,Moderate,"Children, older adults and people with respiratory conditions should limit prolonged outdoor activity.","Air-quality caution for Arumbakkam, Chennai - TNPCB: next-hour PM2.5 is forecast at 62.0 µg/m³. Conditions are stable."
66,3,False,"Royapuram, Chennai - TNPCB",11578,13.1036,80.2909,2026-02-27 06:30:00+00:00,2026-02-27 07:30:00+00:00,57.3,50.25,57.7,-7.05,-12.31,Improving,84,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Royapuram, Chennai - TNPCB is forecast to remain within the satisfactory category at 50.2 µg/m³. Conditions are improving."
66,4,False,"Velachery Res. Area, Chennai - CPCB",5655,13.0052189,80.2398125,2026-02-27 06:30:00+00:00,2026-02-27 07:30:00+00:00,58.1,46.23,79.0,-11.87,-20.43,Improving sharply,77,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Velachery Res. Area, Chennai - CPCB is forecast to remain within the satisfactory category at 46.2 µg/m³. Conditions are improving sharply."
66,5,False,"Manali Village, Chennai - TNPCB",10780,13.1662,80.2584,2026-02-27 06:30:00+00:00,2026-02-27 07:30:00+00:00,44.6,40.11,44.3,-4.49,-10.06,Improving,66,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Manali Village, Chennai - TNPCB is forecast to remain within the satisfactory category at 40.1 µg/m³. Conditions are improving."
66,6,False,"Perungudi, Chennai - TNPCB",12046,12.9533,80.2357,2026-02-27 06:30:00+00:00,2026-02-27 07:30:00+00:00,42.0,36.0,48.6,-6.0,-14.28,Improving,59,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Perungudi, Chennai - TNPCB is forecast to remain within the satisfactory category at 36.0 µg/m³. Conditions are improving."
67,1,True,"Velachery Res. Area, Chennai - CPCB",5655,13.0052189,80.2398125,2026-02-27 13:30:00+00:00,2026-02-27 14:30:00+00:00,93.5,97.44,83.0,3.94,4.22,Rising,223,Poor,High,Sensitive groups should avoid prolonged outdoor exposure. Consider masks and indoor alternatives.,"Air-quality caution for Velachery Res. Area, Chennai - CPCB: next-hour PM2.5 is forecast at 97.4 µg/m³. Conditions are rising."
67,2,False,"Manali, Chennai - CPCB",2586,13.164544,80.26285,2026-02-27 13:30:00+00:00,2026-02-27 14:30:00+00:00,87.9,80.83,87.9,-7.07,-8.04,Improving,169,Moderately Polluted,Moderate,"Children, older adults and people with respiratory conditions should limit prolonged outdoor activity.","Air-quality caution for Manali, Chennai - CPCB: next-hour PM2.5 is forecast at 80.8 µg/m³. Conditions are improving."
67,3,False,"Arumbakkam, Chennai - TNPCB",11581,13.0664,80.2112,2026-02-27 13:30:00+00:00,2026-02-27 14:30:00+00:00,64.9,61.83,48.2,-3.07,-4.74,Improving,104,Moderately Polluted,Moderate,"Children, older adults and people with respiratory conditions should limit prolonged outdoor activity.","Air-quality caution for Arumbakkam, Chennai - TNPCB: next-hour PM2.5 is forecast at 61.8 µg/m³. Conditions are improving."
67,4,False,"Manali Village, Chennai - TNPCB",10780,13.1662,80.2584,2026-02-27 13:30:00+00:00,2026-02-27 14:30:00+00:00,53.0,54.59,52.3,1.59,3.01,Stable,91,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Manali Village, Chennai - TNPCB is forecast to remain within the satisfactory category at 54.6 µg/m³. Conditions are stable."
67,5,False,"Royapuram, Chennai - TNPCB",11578,13.1036,80.2909,2026-02-27 13:30:00+00:00,2026-02-27 14:30:00+00:00,52.5,51.32,50.1,-1.18,-2.24,Stable,85,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Royapuram, Chennai - TNPCB is forecast to remain within the satisfactory category at 51.3 µg/m³. Conditions are stable."
67,6,False,"Perungudi, Chennai - TNPCB",12046,12.9533,80.2357,2026-02-27 13:30:00+00:00,2026-02-27 14:30:00+00:00,50.6,45.63,53.0,-4.97,-9.83,Improving,76,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Perungudi, Chennai - TNPCB is forecast to remain within the satisfactory category at 45.6 µg/m³. Conditions are improving."
68,1,True,"Velachery Res. Area, Chennai - CPCB",5655,13.0052189,80.2398125,2026-02-27 14:30:00+00:00,2026-02-27 15:30:00+00:00,83.0,118.01,71.4,35.01,42.18,Rising sharply,293,Poor,High,Sensitive groups should avoid prolonged outdoor exposure. Consider masks and indoor alternatives.,"Air-quality caution for Velachery Res. Area, Chennai - CPCB: next-hour PM2.5 is forecast at 118.0 µg/m³. Conditions are rising sharply."
68,2,False,"Manali, Chennai - CPCB",2586,13.164544,80.26285,2026-02-27 14:30:00+00:00,2026-02-27 15:30:00+00:00,87.9,70.85,85.9,-17.05,-19.4,Improving sharply,135,Moderately Polluted,Moderate,"Children, older adults and people with respiratory conditions should limit prolonged outdoor activity.","Air-quality caution for Manali, Chennai - CPCB: next-hour PM2.5 is forecast at 70.8 µg/m³. Conditions are improving sharply."
68,3,False,"Perungudi, Chennai - TNPCB",12046,12.9533,80.2357,2026-02-27 14:30:00+00:00,2026-02-27 15:30:00+00:00,53.0,53.61,53.0,0.61,1.15,Stable,89,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Perungudi, Chennai - TNPCB is forecast to remain within the satisfactory category at 53.6 µg/m³. Conditions are stable."
